Combination,SVM Accuracy,SVM AUC,KNN Accuracy,KNN AUC,Random Forest Accuracy,Random Forest AUC,Logistic Regression Accuracy,Logistic Regression AUC,XGB Accuracy,XGB AUC
Anxiety+AEI_Delta_PSD,0.475,0.51,0.475,0.545,0.525,0.545,0.45,0.5025,0.7,0.64625
Anxiety+AEI_Delta_PSDPCA,0.775,0.87,0.75,0.8075000000000001,0.775,0.7875,0.775,0.8524999999999999,0.775,0.8275
Anxiety+AEI_Theta_PSD,0.675,0.6000000000000001,0.475,0.53,0.5,0.48625,0.7,0.5974999999999999,0.35,0.41125
Anxiety+AEI_Theta_PSDPCA,0.725,0.8225,0.675,0.775,0.675,0.84125,0.75,0.83,0.7,0.85
Anxiety+AEI_Alpha_PSD,0.475,0.49249999999999994,0.525,0.5075000000000001,0.4,0.49874999999999997,0.525,0.53,0.525,0.5137499999999999
Anxiety+AEI_Alpha_PSDPCA,0.7,0.81125,0.725,0.8049999999999999,0.725,0.7949999999999999,0.675,0.8049999999999999,0.775,0.8512499999999998
Anxiety+AEI_Beta_PSD,0.45,0.5549999999999999,0.625,0.5625,0.5,0.4975,0.45,0.48750000000000004,0.475,0.54125
Anxiety+AEI_Beta_PSDPCA,0.775,0.845,0.8,0.81625,0.8,0.8724999999999999,0.775,0.835,0.775,0.8612500000000001
Anxiety+AEI_HighBeta_PSD,0.575,0.5375,0.6,0.56625,0.5,0.51,0.525,0.46249999999999997,0.55,0.60875
Anxiety+AEI_HighBeta_PSDPCA,0.75,0.81,0.75,0.81,0.725,0.795,0.775,0.8125,0.725,0.81375
Anxiety+AEI_Gamma_PSD,0.4,0.38000000000000006,0.6,0.5625,0.4,0.37875000000000003,0.375,0.38000000000000006,0.375,0.25
Anxiety+AEI_Gamma_PSDPCA,0.75,0.7675,0.75,0.79125,0.775,0.8012499999999999,0.775,0.7725,0.65,0.75375
Anxiety+AEI_All_PSD,0.6,0.645,0.575,0.5525,0.6,0.5525,0.55,0.6499999999999999,0.65,0.68625
Anxiety+AEI_All_PSDPCA,0.75,0.9099999999999999,0.7,0.8275,0.725,0.81125,0.725,0.895,0.775,0.8500000000000001
