Combination,SVM Accuracy,SVM AUC,KNN Accuracy,KNN AUC,Random Forest Accuracy,Random Forest AUC,Logistic Regression Accuracy,Logistic Regression AUC,XGB Accuracy,XGB AUC
Alcohol.csv_Delta_PSDFC,0.7368421052631579,0.6136363636363636,0.631578947368421,0.6931818181818182,0.6842105263157895,0.8068181818181818,0.7894736842105263,0.7613636363636364,0.7894736842105263,0.8181818181818182
Alcohol.csv_Delta_PSDFCPCA,0.631578947368421,0.7613636363636364,0.5789473684210527,0.7159090909090908,0.631578947368421,0.7613636363636364,0.5789473684210527,0.7840909090909091,0.5789473684210527,0.6988636363636364
Alcohol.csv_Theta_PSDFC,0.631578947368421,0.7111111111111111,0.631578947368421,0.7777777777777777,0.631578947368421,0.8277777777777778,0.5789473684210527,0.7333333333333333,0.6842105263157895,0.6666666666666666
Alcohol.csv_Theta_PSDFCPCA,0.5789473684210527,0.7333333333333334,0.631578947368421,0.7666666666666666,0.631578947368421,0.7833333333333333,0.5789473684210527,0.7,0.631578947368421,0.7777777777777778
Alcohol.csv_Alpha_PSDFC,0.631578947368421,0.7727272727272727,0.5263157894736842,0.5568181818181819,0.8421052631578947,0.8068181818181819,0.631578947368421,0.7613636363636365,0.631578947368421,0.6704545454545454
Alcohol.csv_Alpha_PSDFCPCA,0.5789473684210527,0.6363636363636364,0.5263157894736842,0.6477272727272727,0.42105263157894735,0.5227272727272727,0.631578947368421,0.625,0.5789473684210527,0.5795454545454546
Alcohol.csv_Beta_PSDFC,0.8947368421052632,0.875,0.7368421052631579,0.7727272727272727,0.7894736842105263,0.8693181818181819,0.8421052631578947,0.8863636363636364,0.8421052631578947,0.9204545454545454
Alcohol.csv_Beta_PSDFCPCA,0.8421052631578947,0.9318181818181818,0.7368421052631579,0.7443181818181819,0.7368421052631579,0.6875,0.8421052631578947,0.9204545454545454,0.8947368421052632,0.875
Alcohol.csv_HighBeta_PSDFC,0.6842105263157895,0.8205128205128206,0.5263157894736842,0.7243589743589743,0.631578947368421,0.6538461538461539,0.7368421052631579,0.7435897435897436,0.8421052631578947,0.9102564102564102
Alcohol.csv_HighBeta_PSDFCPCA,0.6842105263157895,0.7884615384615385,0.5263157894736842,0.7243589743589743,0.47368421052631576,0.5064102564102564,0.631578947368421,0.782051282051282,0.5263157894736842,0.6538461538461539
Alcohol.csv_Gamma_PSDFC,0.7368421052631579,0.75,0.5789473684210527,0.5681818181818181,0.6842105263157895,0.6477272727272727,0.6842105263157895,0.8181818181818181,0.8421052631578947,0.8693181818181819
Alcohol.csv_Gamma_PSDFCPCA,0.7368421052631579,0.8068181818181819,0.5263157894736842,0.5227272727272727,0.7894736842105263,0.8920454545454546,0.7894736842105263,0.8068181818181818,0.7368421052631579,0.8863636363636364
Alcohol.csv_All_PSDFC,0.47368421052631576,0.5333333333333333,0.631578947368421,0.7388888888888889,0.7894736842105263,0.8222222222222222,0.47368421052631576,0.5111111111111111,0.8421052631578947,0.9555555555555556
Alcohol.csv_All_PSDFCPCA,0.3684210526315789,0.4277777777777778,0.5789473684210527,0.6944444444444444,0.631578947368421,0.6777777777777778,0.42105263157894735,0.43333333333333335,0.5789473684210527,0.7
