Combination,SVM Accuracy,SVM AUC,KNN Accuracy,KNN AUC,Random Forest Accuracy,Random Forest AUC,Logistic Regression Accuracy,Logistic Regression AUC,XGB Accuracy,XGB AUC
Acute_AEI_Delta_PSD,0.538461538461538,0.35,0.615384615384615,0.4875,0.615384615384615,0.4875,0.538461538461538,0.375,0.615384615384615,0.5
Acute_AEI_Delta_PSDPCA,0.769230769230769,0.875,0.615384615384615,0.725,0.692307692307692,0.7125,0.769230769230769,0.825,0.615384615384615,0.6125
Acute_AEI_Theta_PSD,0.538461538461538,0.875,0.615384615384615,0.6,0.615384615384615,0.6,0.692307692307692,0.825,0.615384615384615,0.7
Acute_AEI_Theta_PSDPCA,0.615384615384615,0.75,0.692307692307692,0.6125,0.538461538461538,0.6125,0.615384615384615,0.75,0.615384615384615,0.7
Acute_AEI_Alpha_PSD,0.615384615384615,0.625,0.615384615384615,0.475,0.615384615384615,0.5625,0.615384615384615,0.375,0.615384615384615,0.6125
Acute_AEI_Alpha_PSDPCA,0.615384615384615,0.75,0.615384615384615,0.8125,0.692307692307692,0.8625,0.615384615384615,0.7,0.692307692307692,0.725
Acute_AEI_Beta_PSD,0.615384615384615,0.5,0.692307692307692,0.6,0.615384615384615,0.5125,0.615384615384615,0.375,0.615384615384615,0.65
Acute_AEI_Beta_PSDPCA,0.769230769230769,0.675,0.615384615384615,0.65,0.692307692307692,0.625,0.769230769230769,0.75,0.615384615384615,0.4875
Acute_AEI_HighBeta_PSD,0.538461538461538,0.575,0.615384615384615,0.4625,0.461538461538462,0.3625,0.538461538461538,0.5,0.615384615384615,0.575
Acute_AEI_HighBeta_PSDPCA,0.769230769230769,0.775,0.615384615384615,0.7125,0.692307692307692,0.625,0.692307692307692,0.8,0.615384615384615,0.7125
Acute_AEI_Gamma_PSD,0.538461538461538,0.45,0.615384615384615,0.8125,0.692307692307692,0.425,0.538461538461538,0.45,0.615384615384615,0.575
Acute_AEI_Gamma_PSDPCA,0.769230769230769,0.85,0.615384615384615,0.65,0.769230769230769,0.75,0.692307692307692,0.85,0.769230769230769,0.8125
Acute_AEI_All_PSD,0.615384615384615,0.45,0.615384615384615,0.575,0.615384615384615,0.45,0.538461538461538,0.6,0.692307692307692,0.5
Acute_AEI_All_PSDPCA,0.846153846153846,0.225,0.692307692307692,0.6875,0.769230769230769,0.8,0.769230769230769,0.725,0.692307692307692,0.7
Adjustment_AEI_Delta_PSD,0.5714285714285714,0.3469387755102041,0.5,0.2346938775510204,0.35714285714285715,0.32653061224489793,0.6428571428571429,0.673469387755102,0.5,0.5714285714285714
Adjustment_AEI_Delta_PSDPCA,0.8571428571428571,1.0,0.5714285714285714,0.826530612244898,0.8571428571428571,0.9591836734693877,0.8571428571428571,1.0,0.7857142857142857,0.9285714285714285
Adjustment_AEI_Theta_PSD,0.5,0.38775510204081637,0.5,0.6326530612244898,0.5,0.5612244897959184,0.6428571428571429,0.5918367346938775,0.5714285714285714,0.6122448979591837
Adjustment_AEI_Theta_PSDPCA,0.8571428571428571,1.0,0.6428571428571429,0.8979591836734694,0.7857142857142857,0.9693877551020409,0.8571428571428571,1.0,0.7857142857142857,0.9795918367346939
Adjustment_AEI_Alpha_PSD,0.5,0.36734693877551017,0.5,0.3979591836734694,0.6428571428571429,0.6428571428571428,0.5714285714285714,0.653061224489796,0.5,0.4897959183673469
Adjustment_AEI_Alpha_PSDPCA,0.8571428571428571,0.9591836734693878,0.5,0.663265306122449,0.7857142857142857,0.8571428571428571,0.8571428571428571,0.9183673469387754,0.7857142857142857,0.9387755102040816
Adjustment_AEI_Beta_PSD,0.35714285714285715,0.326530612244898,0.5,0.5918367346938775,0.42857142857142855,0.4897959183673469,0.42857142857142855,0.346938775510204,0.5,0.673469387755102
Adjustment_AEI_Beta_PSDPCA,0.8571428571428571,0.9387755102040816,0.7857142857142857,0.9795918367346939,0.7142857142857143,1.0,0.8571428571428571,0.9183673469387754,0.7857142857142857,1.0
Adjustment_AEI_HighBeta_PSD,0.42857142857142855,0.4489795918367347,0.5,0.7959183673469388,0.5,0.836734693877551,0.5,0.42857142857142855,0.5,0.7959183673469388
Adjustment_AEI_HighBeta_PSDPCA,0.8571428571428571,0.9591836734693878,0.7857142857142857,0.8775510204081634,0.9285714285714286,0.9285714285714286,0.8571428571428571,0.9387755102040816,0.9285714285714286,0.8877551020408163
Adjustment_AEI_Gamma_PSD,0.35714285714285715,0.28571428571428575,0.42857142857142855,0.23469387755102042,0.5,0.45918367346938777,0.2857142857142857,0.28571428571428575,0.5,0.6020408163265305
Adjustment_AEI_Gamma_PSDPCA,0.8571428571428571,0.9183673469387754,0.7857142857142857,0.8979591836734694,0.9285714285714286,0.9489795918367346,0.8571428571428571,0.9183673469387754,0.9285714285714286,0.9795918367346939
Adjustment_AEI_All_PSD,0.42857142857142855,0.4897959183673469,0.42857142857142855,0.6938775510204082,0.35714285714285715,0.4693877551020408,0.5,0.4897959183673469,0.5714285714285714,0.5918367346938775
Adjustment_AEI_All_PSDPCA,0.8571428571428571,1.0,0.5,0.7142857142857142,0.8571428571428571,0.9795918367346939,0.8571428571428571,1.0,0.8571428571428571,1.0
Alcohol_AEI_Delta_PSD,0.42105263157894735,0.7,0.7368421052631579,0.6611111111111112,0.631578947368421,0.6388888888888888,0.47368421052631576,0.3,0.5789473684210527,0.6222222222222221
Alcohol_AEI_Delta_PSDPCA,0.7894736842105263,0.788888888888889,0.47368421052631576,0.6055555555555555,0.631578947368421,0.7666666666666666,0.7894736842105263,0.8,0.6842105263157895,0.7444444444444445
Alcohol_AEI_Theta_PSD,0.47368421052631576,0.4388888888888889,0.5263157894736842,0.46111111111111114,0.5263157894736842,0.36666666666666664,0.5263157894736842,0.4888888888888889,0.3157894736842105,0.2222222222222222
Alcohol_AEI_Theta_PSDPCA,0.7894736842105263,0.8666666666666667,0.5789473684210527,0.7277777777777777,0.5789473684210527,0.6888888888888889,0.7368421052631579,0.8666666666666667,0.631578947368421,0.6222222222222222
Alcohol_AEI_Alpha_PSD,0.3684210526315789,0.22777777777777775,0.631578947368421,0.5277777777777778,0.5789473684210527,0.41111111111111115,0.3684210526315789,0.26666666666666666,0.7894736842105263,0.8999999999999999
Alcohol_AEI_Alpha_PSDPCA,0.42105263157894735,0.4222222222222223,0.3684210526315789,0.5055555555555555,0.5263157894736842,0.45555555555555555,0.3684210526315789,0.43333333333333335,0.5789473684210527,0.4333333333333333
Alcohol_AEI_Beta_PSD,0.7368421052631579,0.6666666666666667,0.5263157894736842,0.5555555555555556,0.631578947368421,0.6888888888888889,0.7368421052631579,0.6,0.631578947368421,0.7111111111111111
Alcohol_AEI_Beta_PSDPCA,0.6842105263157895,0.8111111111111111,0.6842105263157895,0.8222222222222222,0.6842105263157895,0.8222222222222222,0.6842105263157895,0.7888888888888889,0.631578947368421,0.8333333333333333
Alcohol_AEI_HighBeta_PSD,0.631578947368421,0.36111111111111105,0.47368421052631576,0.4111111111111111,0.5263157894736842,0.5722222222222222,0.6842105263157895,0.7444444444444445,0.3684210526315789,0.19444444444444445
Alcohol_AEI_HighBeta_PSDPCA,0.7894736842105263,0.8333333333333333,0.7368421052631579,0.8111111111111111,0.7368421052631579,0.6388888888888888,0.7894736842105263,0.8333333333333333,0.7368421052631579,0.7555555555555555
Alcohol_AEI_Gamma_PSD,0.3157894736842105,0.2777777777777778,0.5263157894736842,0.6111111111111112,0.47368421052631576,0.5444444444444445,0.2631578947368421,0.2777777777777778,0.47368421052631576,0.5222222222222223
Alcohol_AEI_Gamma_PSDPCA,0.8421052631578947,0.8222222222222222,0.8421052631578947,0.8055555555555556,0.7894736842105263,0.9166666666666667,0.8421052631578947,0.7888888888888889,0.7368421052631579,0.7722222222222221
Alcohol_AEI_All_PSD,0.2631578947368421,0.7222222222222223,0.5789473684210527,0.5666666666666667,0.5789473684210527,0.5833333333333333,0.3157894736842105,0.3111111111111111,0.5263157894736842,0.4888888888888889
Alcohol_AEI_All_PSDPCA,0.631578947368421,0.6555555555555556,0.5263157894736842,0.5666666666666667,0.5263157894736842,0.6666666666666666,0.631578947368421,0.6666666666666666,0.5789473684210527,0.6555555555555554
Behavioral_AEI_Delta_PSD,0.47368421052631576,0.6333333333333333,0.631578947368421,0.5111111111111111,0.5789473684210527,0.5666666666666667,0.5263157894736842,0.6666666666666666,0.3684210526315789,0.3111111111111111
Behavioral_AEI_Delta_PSDPCA,0.47368421052631576,0.6,0.5789473684210527,0.5388888888888889,0.6842105263157895,0.6777777777777778,0.5263157894736842,0.6111111111111112,0.631578947368421,0.6833333333333333
Behavioral_AEI_Theta_PSD,0.42105263157894735,0.6222222222222222,0.47368421052631576,0.3388888888888889,0.3684210526315789,0.36666666666666664,0.47368421052631576,0.48888888888888893,0.3157894736842105,0.3388888888888889
Behavioral_AEI_Theta_PSDPCA,0.5789473684210527,0.4666666666666666,0.5263157894736842,0.4444444444444444,0.42105263157894735,0.42222222222222217,0.5263157894736842,0.45555555555555555,0.42105263157894735,0.4722222222222222
Behavioral_AEI_Alpha_PSD,0.5789473684210527,0.4888888888888889,0.631578947368421,0.5833333333333334,0.5789473684210527,0.5611111111111111,0.47368421052631576,0.5333333333333333,0.5789473684210527,0.6277777777777778
Behavioral_AEI_Alpha_PSDPCA,0.42105263157894735,0.45555555555555555,0.631578947368421,0.5277777777777779,0.42105263157894735,0.5277777777777778,0.3684210526315789,0.4111111111111111,0.631578947368421,0.7222222222222222
Behavioral_AEI_Beta_PSD,0.631578947368421,0.7,0.47368421052631576,0.5,0.5263157894736842,0.47777777777777775,0.6842105263157895,0.7555555555555555,0.47368421052631576,0.3555555555555555
Behavioral_AEI_Beta_PSDPCA,0.47368421052631576,0.34444444444444444,0.5263157894736842,0.36666666666666664,0.3684210526315789,0.39999999999999997,0.3684210526315789,0.34444444444444444,0.5789473684210527,0.5333333333333333
Behavioral_AEI_HighBeta_PSD,0.42105263157894735,0.35555555555555557,0.3684210526315789,0.42222222222222217,0.5263157894736842,0.5944444444444444,0.42105263157894735,0.4111111111111111,0.5263157894736842,0.5111111111111111
Behavioral_AEI_HighBeta_PSDPCA,0.47368421052631576,0.4444444444444444,0.47368421052631576,0.5833333333333333,0.47368421052631576,0.40555555555555556,0.5263157894736842,0.4444444444444444,0.42105263157894735,0.4111111111111111
Behavioral_AEI_Gamma_PSD,0.3684210526315789,0.2,0.3684210526315789,0.3111111111111111,0.2631578947368421,0.28888888888888886,0.3684210526315789,0.24444444444444446,0.3157894736842105,0.21666666666666662
Behavioral_AEI_Gamma_PSDPCA,0.5263157894736842,0.45555555555555555,0.5789473684210527,0.6055555555555556,0.6842105263157895,0.6777777777777777,0.47368421052631576,0.4333333333333333,0.6842105263157895,0.7444444444444445
Behavioral_AEI_All_PSD,0.47368421052631576,0.5222222222222221,0.42105263157894735,0.3222222222222222,0.3157894736842105,0.23333333333333334,0.42105263157894735,0.35555555555555557,0.5789473684210527,0.5666666666666667
Behavioral_AEI_All_PSDPCA,0.5789473684210527,0.6666666666666666,0.42105263157894735,0.4,0.5263157894736842,0.6,0.5789473684210527,0.5888888888888888,0.47368421052631576,0.44999999999999996
Bipolar_AEI_Delta_PSD,0.4375,0.546875,0.4375,0.40625,0.4375,0.6015625,0.5,0.546875,0.4375,0.53125
Bipolar_AEI_Delta_PSDPCA,0.875,0.859375,0.875,1.0,0.75,0.9140625,0.875,0.890625,0.875,0.90625
Bipolar_AEI_Theta_PSD,0.5625,0.59375,0.4375,0.6484375,0.4375,0.5390625,0.5,0.546875,0.625,0.5703125
Bipolar_AEI_Theta_PSDPCA,0.9375,0.984375,0.8125,0.96875,0.9375,0.984375,0.9375,0.984375,0.8125,0.890625
Bipolar_AEI_Alpha_PSD,0.5625,0.40625,0.5625,0.4765625,0.625,0.578125,0.5625,0.625,0.5,0.546875
Bipolar_AEI_Alpha_PSDPCA,0.75,0.84375,0.8125,0.890625,0.75,0.8671875,0.75,0.859375,0.75,0.8125
Bipolar_AEI_Beta_PSD,0.5625,0.453125,0.375,0.34375,0.375,0.3359375,0.4375,0.453125,0.5,0.3984375
Bipolar_AEI_Beta_PSDPCA,0.875,0.984375,0.75,0.9453125,0.9375,1.0,0.875,0.984375,0.875,0.9375
Bipolar_AEI_HighBeta_PSD,0.375,0.5625,0.5625,0.546875,0.5,0.65625,0.625,0.609375,0.625,0.6328125
Bipolar_AEI_HighBeta_PSDPCA,0.875,0.984375,0.8125,0.9609375,0.8125,0.9140625,0.875,0.984375,0.875,0.953125
Bipolar_AEI_Gamma_PSD,0.6875,0.171875,0.625,0.71875,0.25,0.265625,0.625,0.859375,0.4375,0.28125
Bipolar_AEI_Gamma_PSDPCA,0.875,0.9375,0.9375,0.9921875,0.8125,0.9375,0.875,0.96875,0.75,0.921875
Bipolar_AEI_All_PSD,0.625,0.625,0.5625,0.6640625,0.75,0.7421875,0.625,0.59375,0.6875,0.765625
Bipolar_AEI_All_PSDPCA,1.0,1.0,0.6875,0.9140625,0.875,0.9453125,1.0,1.0,0.875,0.96875
Depressive_AEI_Delta_PSD,0.5862068965517241,0.6052631578947367,0.6551724137931034,0.4684210526315789,0.6206896551724138,0.5394736842105263,0.6551724137931034,0.631578947368421,0.6551724137931034,0.5842105263157895
Depressive_AEI_Delta_PSDPCA,0.7241379310344828,0.8052631578947368,0.7586206896551724,0.8236842105263159,0.8275862068965517,0.8026315789473684,0.7241379310344828,0.7947368421052632,0.8275862068965517,0.8105263157894735
Depressive_AEI_Theta_PSD,0.6551724137931034,0.5736842105263158,0.5172413793103449,0.4157894736842105,0.6551724137931034,0.41052631578947363,0.5862068965517241,0.41578947368421054,0.6551724137931034,0.5526315789473684
Depressive_AEI_Theta_PSDPCA,0.6896551724137931,0.7526315789473684,0.6551724137931034,0.8157894736842104,0.6896551724137931,0.6552631578947369,0.6896551724137931,0.7526315789473683,0.6551724137931034,0.7657894736842106
