Combination,SVM Accuracy,SVM AUC,KNN Accuracy,KNN AUC,Random Forest Accuracy,Random Forest AUC,Logistic Regression Accuracy,Logistic Regression AUC,XGB Accuracy,XGB AUC
Anxiety+AEI_Delta_PSD,0.6,0.6363636363636364,0.6,0.6515151515151516,0.3,0.38888888888888895,0.55,0.6363636363636364,0.6,0.5151515151515151
Anxiety+AEI_Delta_PSDPCA,0.75,0.9494949494949494,0.7,0.8333333333333334,0.6,0.8888888888888888,0.8,0.9191919191919191,0.8,0.9191919191919191
Anxiety+AEI_Theta_PSD,0.35,0.48484848484848486,0.45,0.4747474747474747,0.4,0.48484848484848486,0.5,0.6666666666666667,0.55,0.6313131313131313
Anxiety+AEI_Theta_PSDPCA,0.75,0.9191919191919191,0.75,0.8939393939393939,0.75,0.9191919191919191,0.75,0.9191919191919191,0.7,0.8989898989898989
Anxiety+AEI_Alpha_PSD,0.65,0.303030303030303,0.3,0.29292929292929293,0.45,0.601010101010101,0.65,0.7272727272727272,0.5,0.44949494949494956
Anxiety+AEI_Alpha_PSDPCA,0.75,0.9191919191919191,0.8,0.9141414141414141,0.75,0.9090909090909091,0.7,0.9191919191919191,0.8,0.898989898989899
Anxiety+AEI_Beta_PSD,0.45,0.42424242424242425,0.55,0.5151515151515151,0.55,0.5202020202020201,0.6,0.5151515151515151,0.45,0.5909090909090909
Anxiety+AEI_Beta_PSDPCA,0.75,0.9292929292929293,0.75,0.8737373737373737,0.8,0.904040404040404,0.8,0.9393939393939393,0.8,0.898989898989899
Anxiety+AEI_HighBeta_PSD,0.55,0.6868686868686869,0.3,0.2777777777777778,0.6,0.4393939393939394,0.55,0.696969696969697,0.45,0.45959595959595956
Anxiety+AEI_HighBeta_PSDPCA,0.8,0.9494949494949495,0.8,0.9343434343434343,0.75,0.8737373737373737,0.75,0.9494949494949495,0.7,0.9393939393939393
Anxiety+AEI_Gamma_PSD,0.4,0.3434343434343434,0.55,0.47474747474747475,0.55,0.5202020202020201,0.35,0.3535353535353535,0.3,0.2828282828282829
Anxiety+AEI_Gamma_PSDPCA,0.85,0.9494949494949495,0.8,0.9292929292929293,0.8,0.9141414141414141,0.85,0.9494949494949495,0.85,0.9191919191919192
Anxiety+AEI_All_PSD,0.6,0.5858585858585859,0.6,0.5656565656565657,0.45,0.36363636363636365,0.55,0.5959595959595959,0.5,0.40404040404040403
Anxiety+AEI_All_PSDPCA,0.75,0.9595959595959596,0.65,0.7777777777777777,0.65,0.8232323232323232,0.7,0.9393939393939393,0.75,0.8535353535353535
